Connected to mysqlserver
First step
6377ppayo82pmi8f
https://kite.trade/connect/login?api_key=6377ppayo82pmi8f&v=3
Second_step
ACC 2016-09-01 2016-09-30
ACC 2016-10-01 2016-10-30
ACC 2016-10-31 2016-10-31
ACC 2016-11-01 2016-11-30
ACC 2016-12-01 2016-12-30
ACC 2016-12-31 2016-12-31
ACC 2017-01-01 2017-01-30
ACC 2017-01-31 2017-01-31
ACC 2017-02-01 2017-02-28
ACC 2017-03-01 2017-03-30
ACC 2017-03-31 2017-03-31
ACC 2017-04-01 2017-04-30
ACC 2017-05-01 2017-05-30
ACC 2017-05-31 2017-05-31
ACC 2017-06-01 2017-06-30
ADANIENT 2016-09-01 2016-09-30
ADANIENT 2016-10-01 2016-10-30
ADANIENT 2016-10-31 2016-10-31
ADANIENT 2016-11-01 2016-11-30
ADANIENT 2016-12-01 2016-12-30
ADANIENT 2016-12-31 2016-12-31
ADANIENT 2017-01-01 2017-01-30
ADANIENT 2017-01-31 2017-01-31
ADANIENT 2017-02-01 2017-02-28
ADANIENT 2017-03-01 2017-03-30
ADANIENT 2017-03-31 2017-03-31
ADANIENT 2017-04-01 2017-04-30
ADANIENT 2017-05-01 2017-05-30
ADANIENT 2017-05-31 2017-05-31
ADANIENT 2017-06-01 2017-06-30
Commited candles: 150000
ADANIPORTS 2016-09-01 2016-09-30
ADANIPORTS 2016-10-01 2016-10-30
ADANIPORTS 2016-10-31 2016-10-31
ADANIPORTS 2016-11-01 2016-11-30
ADANIPORTS 2016-12-01 2016-12-30
ADANIPORTS 2016-12-31 2016-12-31
ADANIPORTS 2017-01-01 2017-01-30
ADANIPORTS 2017-01-31 2017-01-31
ADANIPORTS 2017-02-01 2017-02-28
ADANIPORTS 2017-03-01 2017-03-30
ADANIPORTS 2017-03-31 2017-03-31
ADANIPORTS 2017-04-01 2017-04-30
ADANIPORTS 2017-05-01 2017-05-30
ADANIPORTS 2017-05-31 2017-05-31
ADANIPORTS 2017-06-01 2017-06-30
ADANIPOWER 2016-09-01 2016-09-30
ADANIPOWER 2016-10-01 2016-10-30
ADANIPOWER 2016-10-31 2016-10-31
ADANIPOWER 2016-11-01 2016-11-30
ADANIPOWER 2016-12-01 2016-12-30
ADANIPOWER 2016-12-31 2016-12-31
ADANIPOWER 2017-01-01 2017-01-30
ADANIPOWER 2017-01-31 2017-01-31
ADANIPOWER 2017-02-01 2017-02-28
Repeated candle {'volume': 7540, 'cdate': datetime.datetime(2017, 2, 21, 13, 27), 'high': 35.5, 'low': 35.5, 'close': 35.5, 'tradingsymbol_no': 184, 'open': 35.5}
ADANIPOWER 2017-03-01 2017-03-30
ADANIPOWER 2017-03-31 2017-03-31
ADANIPOWER 2017-04-01 2017-04-30
ADANIPOWER 2017-05-01 2017-05-30
ADANIPOWER 2017-05-31 2017-05-31
ADANIPOWER 2017-06-01 2017-06-30
Commited candles: 300000
AJANTPHARM 2016-09-01 2016-09-30
AJANTPHARM 2016-10-01 2016-10-30
AJANTPHARM 2016-10-31 2016-10-31
AJANTPHARM 2016-11-01 2016-11-30
AJANTPHARM 2016-12-01 2016-12-30
AJANTPHARM 2016-12-31 2016-12-31
AJANTPHARM 2017-01-01 2017-01-30
