Connected to mysqlserver
First step
6377ppayo82pmi8f
https://kite.trade/connect/login?api_key=6377ppayo82pmi8f&v=3
Second_step
ACC 2017-07-01 2017-07-30
ACC 2017-07-31 2017-07-31
ACC 2017-08-01 2017-08-30
ACC 2017-08-31 2017-08-31
ACC 2017-09-01 2017-09-30
ACC 2017-10-01 2017-10-30
ACC 2017-10-31 2017-10-31
ACC 2017-11-01 2017-11-30
ACC 2017-12-01 2017-12-30
ACC 2017-12-31 2017-12-31
ADANIENT 2017-07-01 2017-07-30
ADANIENT 2017-07-31 2017-07-31
ADANIENT 2017-08-01 2017-08-30
ADANIENT 2017-08-31 2017-08-31
ADANIENT 2017-09-01 2017-09-30
ADANIENT 2017-10-01 2017-10-30
ADANIENT 2017-10-31 2017-10-31
ADANIENT 2017-11-01 2017-11-30
ADANIENT 2017-12-01 2017-12-30
ADANIENT 2017-12-31 2017-12-31
ADANIPORTS 2017-07-01 2017-07-30
ADANIPORTS 2017-07-31 2017-07-31
ADANIPORTS 2017-08-01 2017-08-30
ADANIPORTS 2017-08-31 2017-08-31
ADANIPORTS 2017-09-01 2017-09-30
ADANIPORTS 2017-10-01 2017-10-30
ADANIPORTS 2017-10-31 2017-10-31
ADANIPORTS 2017-11-01 2017-11-30
ADANIPORTS 2017-12-01 2017-12-30
ADANIPORTS 2017-12-31 2017-12-31
ADANIPOWER 2017-07-01 2017-07-30
ADANIPOWER 2017-07-31 2017-07-31
ADANIPOWER 2017-08-01 2017-08-30
Commited candles: 150000
ADANIPOWER 2017-08-31 2017-08-31
ADANIPOWER 2017-09-01 2017-09-30
ADANIPOWER 2017-10-01 2017-10-30
ADANIPOWER 2017-10-31 2017-10-31
ADANIPOWER 2017-11-01 2017-11-30
ADANIPOWER 2017-12-01 2017-12-30
ADANIPOWER 2017-12-31 2017-12-31
AJANTPHARM 2017-07-01 2017-07-30
AJANTPHARM 2017-07-31 2017-07-31
AJANTPHARM 2017-08-01 2017-08-30
AJANTPHARM 2017-08-31 2017-08-31
AJANTPHARM 2017-09-01 2017-09-30
AJANTPHARM 2017-10-01 2017-10-30
AJANTPHARM 2017-10-31 2017-10-31
AJANTPHARM 2017-11-01 2017-11-30
AJANTPHARM 2017-12-01 2017-12-30
AJANTPHARM 2017-12-31 2017-12-31
ALBK 2017-07-01 2017-07-30
ALBK 2017-07-31 2017-07-31
ALBK 2017-08-01 2017-08-30
ALBK 2017-08-31 2017-08-31
ALBK 2017-09-01 2017-09-30
ALBK 2017-10-01 2017-10-30
ALBK 2017-10-31 2017-10-31
ALBK 2017-11-01 2017-11-30
ALBK 2017-12-01 2017-12-30
ALBK 2017-12-31 2017-12-31
AMARAJABAT 2017-07-01 2017-07-30
AMARAJABAT 2017-07-31 2017-07-31
AMARAJABAT 2017-08-01 2017-08-30
AMARAJABAT 2017-08-31 2017-08-31
AMARAJABAT 2017-09-01 2017-09-30
Commited candles: 300000
AMARAJABAT 2017-10-01 2017-10-30
AMARAJABAT 2017-10-31 2017-10-31
AMARAJABAT 2017-11-01 2017-11-30
AMARAJABAT 2017-12-01 2017-12-30
AMARAJABAT 2017-12-31 2017-12-31
AMBUJACEM 2017-07-01 2017-07-30
