instrument_type	expiry	tick_size	name	lot_size	tradingsymbol	instrument_token	strike	exchange	segment	exchange_token	last_price
EQ		0.05	5PAISA CAPITAL	1	5PAISA-BE	115457	0	NSE	NSE	451	0
EQ		0.05	5PAISA CAPITAL	1	5PAISA-BL	115201	0	NSE	NSE	450	0
EQ		0.05	5PAISA CAPITAL	1	5PAISA	113921	0	NSE	NSE	445	0
EQ		0.05	AARVI ENCON	1	AARVI-SM	5592833	0	NSE	NSE	21847	0
EQ		0.05	AIRO LAM	1	AIROLAM-SM	5600001	0	NSE	NSE	21875	0
EQ		0.05	ANI INTEGRATED SERV	1	AISL-SM	123393	0	NSE	NSE	482	0
EQ		0.05	AJOONI BIOTECH	1	AJOONI-SM	232705	0	NSE	NSE	909	0
EQ		0.05	AMBER ENTERPRISES (I)	1	AMBER-BE	305921	0	NSE	NSE	1195	0
EQ		0.05	AMBER ENTERPRISES (I)	1	AMBER-BL	305153	0	NSE	NSE	1192	0
EQ		0.05	AMBER ENTERPRISES (I)	1	AMBER	303361	0	NSE	NSE	1185	0
EQ		0.05	AMJ LAND HOLDINGS	1	AMJLAND-BE	1995521	0	NSE	NSE	7795	0
EQ		0.05	AMJ LAND HOLDINGS	1	AMJLAND-BL	3241729	0	NSE	NSE	12663	0
EQ		0.05	AMJ LAND HOLDINGS	1	AMJLAND	665089	0	NSE	NSE	2598	0
EQ		0.05	A AND M JUMBO BAGS	1	AMJUMBO-SM	346369	0	NSE	NSE	1353	0
EQ		0.05	APOLLO MICRO SYSTEMS	1	APOLLO-BE	291329	0	NSE	NSE	1138	0
EQ		0.05	APOLLO MICRO SYSTEMS	1	APOLLO-BL	291073	0	NSE	NSE	1137	0
EQ		0.05	APOLLO MICRO SYSTEMS	1	APOLLO	290305	0	NSE	NSE	1134	0
EQ		0.05	RAJDARSHAN INDUSTRIES	1	ARENTERP-BL	3306753	0	NSE	NSE	12917	0
EQ		0.01	RELIANCE ETF BANK BEES	1	BANKBEES	2928385	0	NSE	NSE	11439	0
EQ		0.05	BANSWARA SYNTEX	1	BANSWRAS-BE	3715841	0	NSE	NSE	14515	0
EQ		0.05	ADITYA BIRLA MONEY	1	BIRLAMONEY	3901185	0	NSE	NSE	15239	0
EQ		0.05	CASTEX TECHNOLOGIES	1	CASTEXTECH-BL	3123713	0	NSE	NSE	12202	0
EQ		0.05	CENTRAL DEPO SER (I)	1	CDSL-BE	5421569	0	NSE	NSE	21178	0
EQ		0.05	CENTRAL DEPO SER (I)	1	CDSL-BL	5421313	0	NSE	NSE	21177	0
EQ		0.05	CENTRAL DEPO SER (I)	1	CDSL	5420545	0	NSE	NSE	21174	0
EQ		0.05	CELEBRITY FASHIONS	1	CELEBRITY-BL	3370497	0	NSE	NSE	13166	0
EQ		0.05	CENTURY EXTRUSIONS	1	CENTEXT-BL	3146497	0	NSE	NSE	12291	0
EQ		0.05	CENTRAL BANK OF INDIA	1	CENTRALBK-BE	3813889	0	NSE	NSE	14898	0
EQ		0.05	CHENNAI PETRO CORP DE	1	CHENNPETRO-BE	1374209	0	NSE	NSE	5368	0
EQ		0.05	D.B.CORP	1	DBCORP-BL	4578305	0	NSE	NSE	17884	0
EQ		0.05	DEEPAK FERTILIZERS & PETR	1	DEEPAKFERT	211713	0	NSE	NSE	827	0
EQ		0.05	DUNCANS INDUSTRIES	1	DUNCANSIND-BE	2166273	0	NSE	NSE	8462	0
EQ		0.01	2.50% GOLDBONDS2024 TR-VI	1	SGBNOV24-GB	4915969	0	NSE	NSE	19203	0
EQ		0.05	RAJDARSHAN INDUSTRIES	1	ARENTERP	46337	0	NSE	NSE	181	0
EQ		0.05	ARVEE LABORATORIES I	1	ARVEE-SM	376321	0	NSE	NSE	1470	0
EQ		0.05	ASTER DM HEALTHCARE	1	ASTERDM-BE	387585	0	NSE	NSE	1514	0
EQ		0.05	ASTER DM HEALTHCARE	1	ASTERDM-BL	386817	0	NSE	NSE	1511	0
EQ		0.05	ASTER DM HEALTHCARE	1	ASTERDM	386049	0	NSE	NSE	1508	0
EQ		0.05	ASTRON PAPER BORD MIL	1	ASTRON-BE	225281	0	NSE	NSE	880	0
EQ		0.05	ASTRON PAPER BORD MIL	1	ASTRON-BL	225025	0	NSE	NSE	879	0
EQ		0.05	ASTRON PAPER BORD MIL	1	ASTRON	223745	0	NSE	NSE	874	0
EQ		0.05	AUSTRAL COKE & PRO	1	AUSTRAL-BZ	271617	0	NSE	NSE	1061	0
EQ		0.05	BALAXI VENTURES	1	BALAXI-BE	2896385	0	NSE	NSE	11314	0
EQ		0.05	BALAXI VENTURES	1	BALAXI-BL	2896129	0	NSE	NSE	11313	0
EQ		0.05	BALAXI VENTURES	1	BALAXI	2895105	0	NSE	NSE	11309	0
EQ		0.05	BANKA BIOLOO	1	BANKA-SM	390657	0	NSE	NSE	1526	0
EQ		0.05	BRAND CONCEPTS	1	BCONCEPTS-SM	256513	0	NSE	NSE	1002	0
EQ		0.05	BETA DRUGS	1	BETA-SM	20737	0	NSE	NSE	81	0
EQ		0.01	ICICIPRAMC - BHARATIWIN	1	BHARATIWIN-BL	134401	0	NSE	NSE	525	0
EQ		0.05	DEEPAK NITRITE	1	DEEPAKNITR	212481	0	NSE	NSE	830	0
EQ		0.05	DEEP INDUSTRIES	1	DEEPIND-BL	4671233	0	NSE	NSE	18247	0
EQ		0.05	DONEAR IND.	1	DONEAR-BL	3542273	0	NSE	NSE	13837	0
EQ		0.05	DUNCANS INDUSTRIES	1	DUNCANSLTD-BE	7697153	0	NSE	NSE	30067	0
EQ		0.05	EMPEE DISTI.	1	EDL	3862529	0	NSE	NSE	15088	0
EQ		0.05	ENDURANCE TECHNO.	1	ENDURANCE	4818433	0	NSE	NSE	18822	0
EQ		0.05	ENGINEERS INDIA	1	ENGINERSIN	1256193	0	NSE	NSE	4907	0
EQ		0.05	ENTEGRA	1	ENTEGRA	2683649	0	NSE	NSE	10483	0
EQ		0.05	ERA INFRA ENGINEERING	1	ERAINFRA	3411713	0	NSE	NSE	13327	0
EQ		0.05	ESSAR PORTS	1	ESSARPORTS-BE	6128129	0	NSE	NSE	23938	0
EQ		0.05	ESSAR SHIPPING	1	ESSARSHPNG-BE	6563329	0	NSE	NSE	25638	0
EQ		0.05	ESSAR SHIPPING	1	ESSARSHPNG	6562305	0	NSE	NSE	25634	0
EQ		0.05	GI ENGINEERING SOLNS	1	GISOLUTION-BE	4352001	0	NSE	NSE	17000	0
EQ		0.05	GODREJ INDUSTRIES	1	GODREJIND-BE	3604481	0	NSE	NSE	14080	0
EQ		0.05	GONTERMANN PEIPERS DEPO	1	GONTERPEIP-BE	1934849	0	NSE	NSE	7558	0
EQ		0.05	GPT INFRAPROJECTS	1	GPTINFRA	4527361	0	NSE	NSE	17685	0
EQ		0.05	GTN INDUSTRIES	1	GTNIND-BE	2185985	0	NSE	NSE	8539	0
EQ		0.05	GTN TEXTILES	1	GTNTEX	3449089	0	NSE	NSE	13473	0
EQ		0.05	GUFIC BIOSCIENCES	1	GUFICBIO-BL	3179009	0	NSE	NSE	12418	0
EQ		0.05	HDFC GOLD ETF	1	HDFCMFGETF	5003009	0	NSE	NSE	19543	0
EQ		0.01	ICICIPRAMC - BHARATIWIN	1	BHARATIWIN	133633	0	NSE	NSE	522	0
EQ		0.05	BKM INDUSTRIES	1	BKMINDST-BE	1909505	0	NSE	NSE	7459	0
EQ		0.05	BKM INDUSTRIES	1	BKMINDST-BL	1909249	0	NSE	NSE	7458	0
EQ		0.05	BKM INDUSTRIES	1	BKMINDST	1906177	0	NSE	NSE	7446	0
EQ		0.05	BHARAT ROAD NETWORK	1	BRNL-BE	5551873	0	NSE	NSE	21687	0
EQ		0.05	BHARAT ROAD NETWORK	1	BRNL-BL	5551617	0	NSE	NSE	21686	0
EQ		0.05	BHARAT ROAD NETWORK	1	BRNL	5550849	0	NSE	NSE	21683	0
EQ		0.05	CADSYS (INDIA)	1	CADSYS-SM	5586689	0	NSE	NSE	21823	0
EQ		0.05	CAPACITE INFRAPROJECT	1	CAPACITE-BE	5568769	0	NSE	NSE	21753	0
EQ		0.05	CAPACITE INFRAPROJECT	1	CAPACITE-BL	5568513	0	NSE	NSE	21752	0
EQ		0.05	CAPACITE INFRAPROJECT	1	CAPACITE	5567745	0	NSE	NSE	21749	0
EQ		0.05	CKP LEISURE	1	CKPLEISURE-SM	406273	0	NSE	NSE	1587	0
EQ		0.05	CMM INFRAPROJECTS	1	CMMIPL-SM	24577	0	NSE	NSE	96	0
EQ		0.05	DISHMAN CARBO AMCIS	1	DCAL-BE	5557249	0	NSE	NSE	21708	0
EQ		0.05	HERCULES HOI.	1	HERCULES-BE	3914753	0	NSE	NSE	15292	0
EQ		0.05	HERCULES HOI.	1	HERCULES-BL	3914497	0	NSE	NSE	15291	0
EQ		0.05	HERITAGE FOODS	1	HERITGFOOD-BL	3183361	0	NSE	NSE	12435	0
EQ		0.05	HESTER BIOSCIENCES	1	HESTERBIO	1804289	0	NSE	NSE	7048	0
EQ		0.05	HIGH GROUND ENTP	1	HIGHGROUND-BE	4895233	0	NSE	NSE	19122	0
EQ		0.05	HIGH GROUND ENTP	1	HIGHGROUND-BL	4894977	0	NSE	NSE	19121	0
EQ		0.05	HIL	1	HIL-BL	3188225	0	NSE	NSE	12454	0
EQ		0.05	HILTON METAL FORGING	1	HILTON-BE	3745537	0	NSE	NSE	14631	0
EQ		0.05	HINDUSTAN COPPER	1	HINDCOPPER-BE	4593409	0	NSE	NSE	17943	0
EQ		0.05	HIND NATL GLASS & IND	1	HINDNATGLS-BE	4364801	0	NSE	NSE	17050	0
EQ		0.05	HINDUSTAN ZINC	1	HINDZINC-BL	3508225	0	NSE	NSE	13704	0
EQ		0.01	BOND 7.03% PA TAX FREE S1	1	HUDCO-N6	7589889	0	NSE	NSE	29648	0
EQ		0.01	BOND 7.19% PA TAX FREE S2	1	HUDCO-N7	7590401	0	NSE	NSE	29650	0
EQ		0.01	8.14% TAX FREETRI SR1A	1	HUDCO-NA	5110273	0	NSE	NSE	19962	0
EQ		0.01	SEC RED NCD SR. IV	1	IBULHSGFIN-N7	4767233	0	NSE	NSE	18622	0
EQ		0.05	ICICI PRU LIFE INS CO	1	ICICIPRULI	4774913	0	NSE	NSE	18652	0
EQ		0.05	DISHMAN CARBO AMCIS	1	DCAL-BL	5556993	0	NSE	NSE	21707	0
EQ		0.05	DISHMAN CARBO AMCIS	1	DCAL	5556225	0	NSE	NSE	21704	0
EQ		0.05	PRATAAP SNACKS	1	DIAMONDYD-BE	5592065	0	NSE	NSE	21844	0
EQ		0.05	PRATAAP SNACKS	1	DIAMONDYD-BL	5591809	0	NSE	NSE	21843	0
EQ		0.05	PRATAAP SNACKS	1	DIAMONDYD	5591041	0	NSE	NSE	21840	0
EQ		0.05	DIXON TECHNO (INDIA)	1	DIXON-BE	5553665	0	NSE	NSE	21694	0
EQ		0.05	DIXON TECHNO (INDIA)	1	DIXON-BL	5553409	0	NSE	NSE	21693	0
EQ		0.05	DIXON TECHNO (INDIA)	1	DIXON	5552641	0	NSE	NSE	21690	0
EQ		0.05	DILIGENT MEDIA CORP	1	DNAMEDIA-BE	165121	0	NSE	NSE	645	0
EQ		0.05	DILIGENT MEDIA CORP	1	DNAMEDIA-BL	164865	0	NSE	NSE	644	0
EQ		0.05	DILIGENT MEDIA CORP	1	DNAMEDIA	164097	0	NSE	NSE	641	0
EQ		0.05	D. P. ABHUSHAN	1	DPABHUSHAN-SM	59137	0	NSE	NSE	231	0
EQ		0.01	ICIC0899-5.4T-18-MMBII	1	ICICI0899-NC	1736449	0	NSE	NSE	6783	0
EQ		0.05	ICRA	1	ICRA-BL	3718401	0	NSE	NSE	14525	0
EQ		0.05	ICSA (INDIA)	1	ICSA	3489793	0	NSE	NSE	13632	0
EQ		0.05	IDBI BANK	1	IDBI-BL	3189761	0	NSE	NSE	12460	0
EQ		0.01	BOND 0% 2022 TR-3 SR-II	1	IDFCBANK-NE	2795521	0	NSE	NSE	10920	0
EQ		0.05	INDRAPRASTHA GAS	1	IGL	2883073	0	NSE	NSE	11262	0
EQ		0.05	I G PETROCHEMICALS	1	IGPL-BE	3607041	0	NSE	NSE	14090	0
EQ		0.05	I G PETROCHEMICALS	1	IGPL	3606017	0	NSE	NSE	14086	0
EQ		0.01	8.91% TAX FREE NCD	1	IIFCL-N4	5134849	0	NSE	NSE	20058	0
EQ		0.01	NCD 12.75% PA UNS O1	1	IIFLFIN-N5	7396097	0	NSE	NSE	28891	0
EQ		0.01	NCD 12.75% PA UNS O2	1	IIFLFIN-N6	7396609	0	NSE	NSE	28893	0
EQ		0.05	D P WIRES	1	DPWIRES-SM	5594625	0	NSE	NSE	21854	0
EQ		0.05	EDUCOMP SOLUTIONS	1	EDUCOMP-BZ	5567233	0	NSE	NSE	21747	0
EQ		0.05	FARMAX INDIA	1	FARMAXIND-BZ	133377	0	NSE	NSE	521	0
EQ		0.05	FELIX INDUSTRIES	1	FELIX-SM	146689	0	NSE	NSE	573	0
EQ		0.05	FUTURE SUPP CHAIN SOL	1	FSC-BE	191489	0	NSE	NSE	748	0
EQ		0.05	FUTURE SUPP CHAIN SOL	1	FSC-BL	191233	0	NSE	NSE	747	0
EQ		0.05	FUTURE SUPP CHAIN SOL	1	FSC	190465	0	NSE	NSE	744	0
EQ		0.05	INDRAPRASTHA MED-ROLLSETT	1	INDRAMEDCO-BE	2266113	0	NSE	NSE	8852	0
EQ		0.05	IND TERRAIN FASHIONS	1	INDTERRAIN	5620993	0	NSE	NSE	21957	0
EQ		0.05	INTELLECT DESIGN ARENA	1	INTELLECT	1517057	0	NSE	NSE	5926	0
EQ		0.05	INTL TRAVEL HOUSE	1	INTLTRAVHS-BE	2073089	0	NSE	NSE	8098	0
EQ		0.05	IOL CHEM AND PHARMA	1	IOLCP-BE	5226753	0	NSE	NSE	20417	0
EQ		0.05	IOL CHEM AND PHARMA	1	IOLCP-BL	5226497	0	NSE	NSE	20416	0
EQ		0.05	INTERNATIONALPAPERAPPMLTD	1	IPAPPM-BE	2095105	0	NSE	NSE	8184	0
EQ		0.01	BOND 8.19% PA TF TII-SIA	1	IRFC-NB	508673	0	NSE	NSE	1987	0
EQ		0.01	BOND 8.44% PA TF TII-SIB	1	IRFC-ND	510209	0	NSE	NSE	1993	0
EQ		0.05	ITC	1	ITC-BL	3198721	0	NSE	NSE	12495	0
EQ		0.05	ITI	1	ITI-BE	1477889	0	NSE	NSE	5773	0
EQ		0.05	JAIPARABOLIC-ROLL SETT	1	JAIPARBOLI-BE	2503169	0	NSE	NSE	9778	0
EQ		0.05	JALAN TRANSOLU. INDIA	1	JALAN-SM	5357825	0	NSE	NSE	20929	0
EQ		0.05	JBF INDUS -DEP-LS ML	1	JBFIND-BE	1388801	0	NSE	NSE	5425	0
EQ		0.05	JOHNSON CONTROLS HITACHI	1	JCHAC-BL	3083265	0	NSE	NSE	12044	0
EQ		0.05	JCT ELE.	1	JCTEL-BL	3857153	0	NSE	NSE	15067	0
EQ		0.05	JET AIRWAYS (INDIA)	1	JETAIRWAYS	2997505	0	NSE	NSE	11709	0
