Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"HEXAWARE","420.00","454.95","417.50","446.20","29.40","7.05","33.39","143.80","458.20","228.00","79.16","10.45"
"NESTLEIND","9,240.00","9,619.70","9,150.00","9,482.05","500.50","5.57","2.09","197.37","9,619.70","6,450.00","37.02","11.57"
"ASIANPAINT","1,237.00","1,291.90","1,229.85","1,285.05","67.35","5.53","47.23","602.35","1,291.90","1,080.50","10.94","11.09"
"JINDALSTEL","247.00","260.25","246.80","255.70","11.00","4.50","119.67","304.71","294.30","102.70","123.71","4.41"
"PTC","93.85","100.25","93.05","98.00","3.85","4.09","55.89","54.67","130.45","82.60","-5.04","2.51"
"BERGEPAINT","272.00","280.90","268.05","277.20","10.45","3.92","43.28","119.63","287.45","230.55","6.55","3.88"
"TATACOMM","596.25","644.00","596.05","634.00","21.95","3.59","15.30","96.35","776.00","570.45","-4.29","-3.27"
"BEML","1,045.90","1,093.50","1,026.90","1,081.05","37.15","3.56","7.78","82.78","1,947.00","971.65","-20.59","-5.93"
"HINDPETRO","308.80","321.50","308.55","318.75","10.85","3.52","95.68","304.18","492.80","288.50","-9.65","-12.59"
"CONCOR","1,357.55","1,413.20","1,357.55","1,402.00","45.25","3.34","4.21","58.96","1,500.00","1,096.10","17.43","9.81"
"RAMCOCEM","811.00","846.45","811.00","841.00","25.45","3.12","4.18","34.97","879.10","647.60","17.37","3.42"
"INDIACEM","134.35","138.85","133.25","137.35","4.00","3.00","24.57","33.55","226.25","133.00","-35.89","-9.37"
"SUNTV","860.00","881.00","838.00","879.00","23.80","2.78","16.93","146.39","1,097.80","652.45","1.91","0.11"
"CENTURYTEX","1,084.60","1,118.25","1,062.60","1,103.00","29.00","2.70","7.65","83.96","1,471.20","1,013.00","-6.72","-8.88"
"BANKBARODA","139.55","143.65","137.10","142.40","3.75","2.70","116.73","164.95","206.65","128.10","-23.26","-7.08"
"VEDL","282.90","287.30","278.60","286.90","7.20","2.57","97.74","277.29","355.70","220.65","25.50","0.99"
"AUROPHARMA","596.00","616.50","584.80","609.45","15.15","2.55","21.24","128.48","809.45","503.05","-1.53","0.26"
"APOLLOHOSP","1,033.00","1,052.55","1,012.50","1,050.00","25.85","2.52","2.93","30.19","1,358.00","957.15","-19.52","-3.34"
"BPCL","389.25","400.50","389.25","399.90","9.70","2.49","45.26","180.06","551.55","369.85","-17.63","-11.36"
"IBULHSGFIN","1,217.00","1,246.90","1,209.00","1,237.45","28.80","2.38","17.67","217.80","1,440.00","1,013.30","14.27","-6.58"
"VOLTAS","603.00","620.80","603.00","615.90","13.95","2.32","12.57","77.28","675.30","403.40","39.75","-2.79"
"IDFC","53.80","55.35","53.60","54.75","1.20","2.24","40.96","22.43","68.90","48.30","-14.79","4.19"
"KAJARIACER","535.50","549.05","535.50","540.05","11.65","2.20","11.01","59.91","789.80","501.25","-24.83","-3.05"
"PETRONET","212.50","216.25","205.15","215.00","4.40","2.09","49.06","103.45","275.65","198.20","-0.76","-8.86"
"TATASTEEL","597.00","610.55","591.20","606.25","12.10","2.04","61.56","371.39","748.11","408.11","38.59","0.72"
"GODREJIND","581.00","595.95","569.00","592.85","11.85","2.04","3.09","17.96","699.00","512.55","4.68","5.40"
"ULTRACEMCO","4,011.00","4,085.00","3,968.55","4,079.00","80.45","2.01","0.97","39.34","4,599.90","3,773.30","-6.61","3.76"
"SREINFRA","78.15","80.85","76.60","79.80","1.55","1.98","14.42","11.47","138.00","69.50","-29.29","-5.62"
"HAVELLS","542.20","560.60","540.00","548.00","10.25","1.91","47.34","260.70","592.50","433.60","9.13","2.50"
"OIL","232.55","236.95","231.25","235.55","4.20","1.82","8.56","20.12","259.30","171.40","-27.46","8.45"
"NIITTECH","1,045.00","1,063.80","1,034.50","1,056.00","18.80","1.81","16.30","171.32","1,192.00","462.60","100.27","19.21"
"BRITANNIA","5,400.00","5,492.40","5,400.00","5,479.00","92.55","1.72","0.62","33.90","5,565.50","3,371.50","47.63","6.71"
"LT","1,367.50","1,389.50","1,364.30","1,385.40","23.20","1.70","10.34","142.37","1,470.00","1,107.53","19.48","2.63"
"IGL","262.85","267.40","258.00","266.95","4.40","1.68","25.34","66.80","344.90","193.36","30.81","-9.83"
"BHARATFIN","1,145.10","1,167.85","1,139.15","1,163.50","19.10","1.67","7.81","90.11","1,172.20","651.00","52.96","1.85"
"UPL","724.70","739.60","723.00","734.00","12.00","1.66","11.00","80.76","902.50","672.50","-10.87","-2.35"
"AXISBANK","548.60","556.50","545.50","556.00","8.35","1.52","49.61","272.74","627.60","447.50","5.63","1.80"
"BATAINDIA","783.00","792.55","773.65","790.00","11.75","1.51","5.68","44.54","832.80","510.70","37.43","2.48"
"BAJAJFINSV","5,275.00","5,364.75","5,250.10","5,315.00","77.05","1.47","0.63","33.41","5,790.00","3,801.00","21.03","-1.81"
"EQUITAS","167.00","167.00","163.75","166.00","2.35","1.44","12.46","20.61","183.60","129.30","0.58","7.30"
"INDIGO","1,151.00","1,167.95","1,138.20","1,162.30","16.40","1.43","5.86","67.72","1,520.00","1,004.00","3.42","-21.46"
"KOTAKBANK","1,250.00","1,272.40","1,248.05","1,265.00","17.50","1.40","14.16","178.55","1,288.40","911.00","36.37","13.59"
"INDIANB","311.00","321.00","304.10","318.10","4.20","1.34","35.65","111.49","427.40","253.05","-9.92","-1.84"
"COLPAL","1,097.00","1,111.90","1,093.55","1,110.65","14.70","1.34","2.89","31.88","1,178.35","966.75","8.95","1.76"
"JSWSTEEL","320.60","325.25","319.50","323.70","4.15","1.30","22.08","71.32","331.20","184.10","63.90","3.97"
"HINDUNILVR","1,489.00","1,506.00","1,485.10","1,505.00","18.50","1.24","5.91","88.58","1,514.00","954.10","51.05","8.16"
"NATIONALUM","77.00","78.40","75.95","77.90","0.95","1.23","70.07","54.28","97.60","60.70","15.07","7.67"
"GSFC","130.85","134.35","129.35","132.40","1.60","1.22","14.09","18.60","166.40","112.50","-8.91","5.50"
"VGUARD","237.70","243.00","234.35","240.00","2.90","1.22","5.44","12.98","254.90","165.00","13.34","3.25"
"ICICIBANK","307.95","311.85","307.55","310.55","3.70","1.21","166.71","516.69","365.70","255.00","14.38","7.53"
"MANAPPURAM","121.95","123.95","121.05","122.50","1.45","1.20","35.61","43.52","130.45","82.10","26.35","-0.28"
"YESBANK","346.50","351.80","341.80","348.70","4.05","1.18","76.42","265.19","382.90","275.25","9.08","9.22"
"KTKBANK","113.00","116.50","111.90","113.85","1.30","1.16","19.22","21.83","181.00","108.00","-32.55","-8.96"
"TORNTPHARM","1,355.00","1,380.00","1,344.00","1,363.00","15.50","1.15","1.59","21.72","1,474.80","1,141.95","1.82","4.44"
"SBIN","247.60","251.60","246.05","250.80","2.85","1.15","119.59","297.36","351.30","232.35","-14.82","-4.75"
"HDFC","1,901.00","1,921.70","1,901.00","1,916.00","21.70","1.15","9.48","181.47","1,986.05","1,503.45","21.88","5.42"
"INFY","1,172.30","1,183.20","1,166.05","1,180.60","12.60","1.08","16.56","194.45","1,221.05","860.00","25.11","6.04"
"MGL","863.50","872.10","848.00","872.00","9.05","1.05","4.06","35.03","1,377.50","848.00","-13.49","-7.73"
"PIDILITIND","1,090.30","1,104.90","1,090.30","1,099.55","11.10","1.02","3.30","36.36","1,111.75","717.00","47.28","9.94"
"ITC","281.90","284.00","279.75","283.00","2.85","1.02","38.92","109.63","367.70","250.00","3.30","6.11"
"HINDZINC","295.10","299.50","292.50","298.20","3.00","1.02","17.38","51.68","340.20","226.85","17.08","-5.33"
"M&M","857.95","872.80","848.85","865.15","8.65","1.01","13.05","112.35","887.90","612.00","-37.14","11.26"
"SAIL","73.10","74.25","72.60","73.30","0.70","0.96","127.02","93.19","101.45","52.85","19.97","-4.25"
"BAJFINANCE","1,845.00","1,880.75","1,828.10","1,855.00","17.60","0.96","4.83","90.17","1,985.90","1,190.55","39.79","-3.69"
"ADANIENT","127.55","129.40","123.40","127.85","1.20","0.95","59.43","75.02","223.50","104.80","4.11","-13.47"
"UBL","1,094.00","1,121.25","1,083.00","1,107.10","10.40","0.95","3.42","37.97","1,243.00","766.80","37.72","11.28"
"UJJIVAN","434.75","434.75","405.05","407.30","3.70","0.92","65.07","269.00","434.75","285.00","17.46","8.04"
