Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY 50","10,301.60","10,342.35","10,295.45","10,321.90","95.05","0.93","1,124.28","5,328.52","11,171.55","9,019.30","15.63","-1.48"
"ITC","264.00","268.00","262.95","266.95","7.70","2.97","126.05","335.76","367.70","250.00","0.75","-2.98"
"HCLTECH","950.00","976.00","949.00","969.90","26.90","2.85","15.52","150.63","1,040.70","796.20","14.87","3.34"
"BHARTIARTL","405.00","412.90","404.00","411.65","9.50","2.36","28.96","118.59","564.80","325.80","14.28","-4.32"
"INFY","1,176.00","1,191.85","1,171.75","1,187.10","23.70","2.04","19.64","232.85","1,221.05","860.00","17.35","7.04"
"VEDL","308.30","311.80","305.60","309.65","5.50","1.81","50.35","155.88","355.70","217.75","22.59","-1.92"
"IOC","389.50","394.00","387.50","392.00","6.50","1.69","50.74","198.63","462.95","360.65","4.60","-3.15"
"INFRATEL","335.50","340.15","332.65","338.70","5.55","1.67","54.62","183.28","482.80","303.10","10.99","0.04"
"WIPRO","286.30","292.00","286.10","289.40","4.35","1.53","10.10","29.32","334.00","241.50","19.46","0.02"
"INDUSINDBK","1,705.00","1,724.00","1,705.00","1,722.35","24.80","1.46","3.15","53.99","1,817.80","1,322.90","29.86","3.65"
"HDFC","1,831.60","1,849.70","1,827.05","1,843.50","24.90","1.37","17.78","327.72","1,986.05","1,362.60","34.41","3.26"
"IBULHSGFIN","1,209.00","1,224.90","1,207.00","1,215.50","16.30","1.36","4.11","49.93","1,440.00","844.35","42.71","-4.60"
"TCS","3,043.00","3,083.90","3,043.00","3,075.20","41.10","1.35","4.02","123.65","3,259.05","2,252.80","22.04","4.07"
"KOTAKBANK","1,087.50","1,100.95","1,083.50","1,097.00","14.55","1.34","4.94","54.07","1,131.00","820.00","32.90","5.86"
"HEROMOTOCO","3,600.40","3,624.95","3,599.85","3,624.10","37.75","1.05","0.46","16.59","4,091.95","3,175.00","10.19","1.62"
"NTPC","164.80","166.00","164.10","165.95","1.55","0.94","7.90","13.04","188.00","153.15","4.83","0.30"
"HINDALCO","220.05","223.25","217.40","222.25","2.05","0.93","49.78","110.00","284.00","179.35","17.47","-9.65"
"GAIL","438.70","445.00","438.00","440.80","3.90","0.89","9.41","41.49","519.50","346.65","16.23","-4.24"
"TATAMOTORS","345.00","346.30","340.35","344.50","3.00","0.88","33.80","115.94","488.25","340.15","-26.33","-8.81"
"ULTRACEMCO","4,079.85","4,125.00","4,074.90","4,115.00","35.15","0.86","0.29","11.99","4,599.90","3,773.30","7.64","0.82"
