Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY AUTO","10,967.60","10,984.90","10,907.70","10,924.30","35.95","0.33","188.22","669.23","12,108.80","9,784.00","11.99","-2.59"
"AMARAJABAT","801.60","810.00","801.00","803.00","9.30","1.17","2.06","16.57","941.00","664.55","-2.46","1.68"
"EXIDEIND","211.00","214.45","210.35","212.30","2.30","1.10","13.95","29.72","250.00","192.40","0.07","3.97"
"HEROMOTOCO","3,600.40","3,624.95","3,599.85","3,619.00","32.65","0.91","0.48","17.41","4,091.95","3,175.00","10.03","1.47"
"TATAMOTORS","345.00","346.30","340.35","344.55","3.05","0.89","34.89","119.70","488.25","340.15","-26.32","-8.80"
"M&M","735.05","738.55","731.60","734.45","5.95","0.82","6.65","48.86","802.55","612.00","-43.67","-1.69"
"EICHERMOT","28,065.00","28,300.00","28,065.00","28,135.25","171.40","0.61","0.10","26.82","33,480.00","23,201.00","20.25","0.45"
"MRF","70,950.00","71,332.95","70,950.00","71,070.00","288.35","0.41","0.01","7.89","74,500.00","51,205.00","36.59","3.26"
"MARUTI","8,719.00","8,743.80","8,681.10","8,695.60","35.00","0.40","1.44","125.41","9,996.40","5,864.15","45.79","-2.54"
"MOTHERSUMI","321.95","321.95","316.00","317.95","0.80","0.25","8.91","28.30","395.60","235.43","33.42","-10.44"
"BAJAJ-AUTO","2,956.00","2,965.00","2,931.00","2,940.30","4.90","0.17","0.40","11.85","3,468.35","2,694.50","2.42","-6.23"
"TVSMOTOR","654.00","656.75","642.00","645.65","-0.50","-0.08","2.47","16.07","794.45","415.25","53.91","-0.44"
"TATAMTRDVR","193.50","194.40","190.75","192.35","-0.40","-0.21","12.99","24.92","294.30","190.75","-31.08","-8.69"
"BOSCHLTD","18,287.00","18,310.40","18,018.05","18,140.20","-63.35","-0.35","0.05","8.40","25,240.00","17,710.00","-17.65","-5.74"
"APOLLOTYRE","260.85","261.90","256.15","257.30","-2.70","-1.04","7.82","20.25","288.65","178.45","43.34","-1.46"
"ASHOKLEY","148.00","148.60","144.65","145.20","-1.80","-1.22","91.60","134.38","148.60","80.75","60.53","9.26"
"BHARATFORG","754.00","759.45","728.10","729.05","-18.75","-2.51","4.40","32.68","798.00","497.50","41.33","3.22"
