Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY BANK","24,443.60","24,499.30","24,358.50","24,420.00","123.55","0.51","975.13","1,803.94","27,652.05","20,753.90","17.85","-4.87"
"INDUSINDBK","1,705.00","1,724.00","1,705.00","1,722.35","24.80","1.46","3.19","54.70","1,817.80","1,322.90","29.86","3.65"
"KOTAKBANK","1,087.50","1,100.95","1,083.50","1,096.70","14.25","1.32","5.02","54.97","1,131.00","820.00","32.86","5.83"
"ICICIBANK","295.60","297.45","293.75","295.50","2.80","0.96","66.20","195.60","365.70","240.45","18.85","-11.14"
"AXISBANK","510.60","513.35","505.30","508.85","3.50","0.69","33.38","169.76","627.60","447.50","-1.46","-9.03"
"HDFCBANK","1,860.20","1,868.45","1,853.40","1,862.90","11.85","0.64","7.45","138.83","2,015.00","1,381.65","33.62","-0.53"
"FEDERALBNK","94.40","94.80","93.70","94.20","0.20","0.21","31.51","29.67","127.65","83.95","10.05","0.86"
"YESBANK","305.20","307.95","301.35","303.05","-0.20","-0.07","58.79","178.42","382.90","275.25","3.41","-8.97"
"IDFCBANK","50.45","51.40","49.10","49.35","-0.60","-1.20","228.52","114.49","71.15","48.00","-17.89","-5.46"
"SBIN","254.10","255.25","247.25","248.25","-5.00","-1.97","139.12","347.56","351.30","241.15","-9.15","-15.22"
"BANKBARODA","132.00","133.00","128.10","128.65","-2.90","-2.20","60.88","79.48","206.65","128.10","-19.32","-16.43"
"PNB","96.20","96.30","91.25","92.60","-3.00","-3.14","251.29","235.13","231.45","91.25","-34.40","-40.85"
"CANBK","235.10","235.45","225.20","227.35","-8.10","-3.44","89.78","205.33","463.70","225.20","-20.49","-27.68"
