Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY ENERGY","13,624.30","13,664.75","13,592.25","13,637.60","100.45","0.74","181.49","637.74","14,662.80","11,245.65","19.65","-0.51"
"IOC","389.50","394.00","387.50","391.70","6.20","1.61","51.42","201.30","462.95","360.65","4.52","-3.22"
"GAIL","438.70","445.00","438.00","440.60","3.70","0.85","9.50","41.89","519.50","346.65","16.18","-4.28"
"RELIANCE","920.00","923.85","917.55","920.65","7.55","0.83","16.07","147.98","990.95","616.68","43.10","2.93"
"NTPC","164.80","166.00","164.10","165.65","1.25","0.76","8.19","13.52","188.00","153.15","4.64","0.12"
"POWERGRID","193.50","194.65","193.00","194.25","1.35","0.70","19.13","37.11","226.60","189.00","-0.10","-0.64"
"HINDPETRO","360.10","362.90","358.60","359.15","2.10","0.59","8.00","28.86","492.80","327.07","4.46","-9.39"
"ONGC","180.90","181.90","179.00","180.55","0.65","0.36","25.37","45.71","212.85","155.20","-4.80","-4.97"
"BPCL","440.00","443.95","437.95","440.20","0.80","0.18","13.93","61.32","551.55","399.33","4.48","-7.57"
"TATAPOWER","80.55","80.80","79.95","80.05","0.05","0.06","19.15","15.35","101.80","75.80","-2.62","-5.49"
"RELINFRA","423.45","423.45","409.70","412.20","-4.60","-1.10","10.73","44.70","620.05","390.55","-27.80","-4.38"
