Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY FMCG","26,322.15","26,526.80","26,271.05","26,473.90","453.85","1.74","175.43","827.72","29,037.85","23,084.80","18.23","-0.97"
"MCDOWELL-N","3,065.00","3,163.00","3,065.00","3,114.00","135.75","4.56","4.60","143.38","4,005.15","1,830.35","40.42","-0.42"
"ITC","264.00","268.00","262.95","267.10","7.85","3.03","127.13","338.62","367.70","250.00","0.81","-2.93"
"GODREJCP","1,080.00","1,089.00","1,075.25","1,082.80","9.95","0.93","0.80","8.65","1,128.00","800.53","33.92","7.03"
"TATAGLOBAL","270.00","274.00","269.70","270.60","2.25","0.84","13.61","37.01","328.75","136.75","92.19","-3.41"
"UBL","1,026.00","1,049.50","1,021.50","1,024.15","7.35","0.72","2.89","29.89","1,243.00","717.20","32.95","-6.42"
"BRITANNIA","4,875.00","4,880.45","4,820.75","4,872.90","31.10","0.64","0.29","14.06","5,065.80","3,063.00","58.28","7.09"
"HINDUNILVR","1,305.00","1,310.00","1,294.05","1,307.75","7.00","0.54","3.47","45.30","1,410.00","862.20","50.26","-0.37"
"DABUR","330.05","333.60","328.65","329.00","1.75","0.53","7.90","26.08","368.60","265.00","19.66","-2.76"
"MARICO","310.20","312.20","305.85","309.80","1.20","0.39","2.23","6.87","348.70","276.90","10.49","3.15"
"COLPAL","1,038.00","1,053.50","1,038.00","1,040.85","3.20","0.31","1.08","11.25","1,178.35","927.30","10.21","-5.31"
"JUBLFOOD","2,090.00","2,098.00","2,061.40","2,066.50","6.20","0.30","6.52","135.81","2,330.90","817.20","95.71","3.33"
"PGHH","9,402.70","9,446.95","9,349.90","9,402.10","-0.60","-0.01","0.01","0.65","9,900.00","6,611.15","37.54","3.45"
"GSKCONS","6,570.00","6,650.00","6,495.95","6,610.00","-16.75","-0.25","0.02","1.50","6,940.00","4,851.00","24.70","5.23"
"EMAMILTD","1,087.00","1,105.05","1,066.00","1,066.00","-18.50","-1.71","0.42","4.52","1,365.00","990.00","5.39","-5.29"
"GODREJIND","548.45","549.95","532.20","534.95","-12.05","-2.20","4.46","24.13","699.00","476.45","11.70","-2.10"
