Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY FIN SERVICE","10,262.10","10,294.95","10,245.85","10,258.95","64.75","0.64","388.65","1,596.41","11,368.50","8,461.80","23.30","-2.67"
"BHARATFIN","1,038.00","1,058.25","1,038.00","1,056.00","22.00","2.13","4.25","44.56","1,097.50","651.00","25.80","5.08"
"HDFC","1,831.60","1,849.70","1,827.05","1,843.65","25.05","1.38","18.21","335.66","1,986.05","1,362.60","34.43","3.27"
"KOTAKBANK","1,087.50","1,100.95","1,083.50","1,096.20","13.75","1.27","5.04","55.19","1,131.00","820.00","32.80","5.78"
"SRTRANSFIN","1,345.50","1,368.40","1,345.50","1,352.35","13.65","1.02","5.93","80.36","1,545.90","917.70","40.73","2.05"
"ICICIBANK","295.60","297.45","293.75","295.20","2.50","0.85","66.42","196.25","365.70","240.45","18.73","-11.23"
"LICHSGFIN","489.75","489.75","483.30","487.30","4.00","0.83","5.88","28.62","794.00","476.60","-14.13","-3.07"
"BAJAJHLDNG","2,763.85","2,763.85","2,736.20","2,749.95","21.15","0.78","0.02","0.56","3,025.00","1,750.00","30.55","2.16"
"BAJAJFINSV","5,002.50","5,027.00","4,967.20","5,003.00","36.75","0.74","0.56","27.94","5,790.00","3,776.00","31.49","-0.18"
"BAJFINANCE","1,663.00","1,681.90","1,655.05","1,665.50","11.30","0.68","1.94","32.26","1,985.90","1,068.00","53.19","1.45"
"HDFCBANK","1,860.20","1,868.45","1,853.40","1,862.40","11.35","0.61","7.48","139.37","2,015.00","1,381.65","33.58","-0.56"
"AXISBANK","510.60","513.35","505.30","508.45","3.10","0.61","33.41","169.92","627.60","447.50","-1.54","-9.10"
"SBIN","254.10","255.25","247.25","248.30","-4.95","-1.95","139.66","348.89","351.30","241.15","-9.13","-15.20"
"M&MFIN","425.00","425.00","407.65","410.95","-9.00","-2.14","11.65","48.39","512.00","274.10","46.56","-6.73"
"RECLTD","129.85","129.85","123.75","124.20","-3.95","-3.08","26.18","32.97","223.90","123.75","-18.26","-16.67"
"PFC","93.40","93.85","86.80","87.25","-5.85","-6.28","62.02","55.47","168.90","86.80","-33.80","-20.25"
