Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY IT","12,825.25","13,012.35","12,813.25","12,959.25","212.00","1.66","117.85","859.42","13,553.95","9,901.65","20.83","4.09"
"HCLTECH","950.00","976.00","949.00","969.90","26.90","2.85","15.59","151.38","1,040.70","796.20","14.87","3.34"
"KPIT","213.00","216.35","210.75","215.80","5.65","2.69","14.72","31.53","227.15","104.05","62.75","1.86"
"INFY","1,176.00","1,191.85","1,171.75","1,187.65","24.25","2.08","19.71","233.70","1,221.05","860.00","17.41","7.09"
"WIPRO","286.30","292.00","286.10","289.35","4.30","1.51","10.26","29.75","334.00","241.50","19.44","0.00"
"TCS","3,043.00","3,083.90","3,043.00","3,075.15","41.05","1.35","4.07","125.01","3,259.05","2,252.80","22.04","4.06"
"TECHM","621.15","636.40","618.90","623.15","3.95","0.64","29.06","182.54","636.40","356.65","27.45","3.32"
"OFSS","3,898.90","3,932.00","3,858.15","3,912.00","19.90","0.51","0.07","2.60","4,379.20","3,372.25","-0.58","-4.51"
"TATAELXSI","1,010.90","1,020.00","1,005.15","1,007.50","5.15","0.51","1.24","12.54","1,123.25","641.18","39.21","3.56"
"MINDTREE","819.00","828.00","811.20","814.70","0.85","0.10","8.25","67.70","871.20","435.00","72.37","13.55"
"INFIBEAM","153.00","153.90","151.25","151.50","-1.20","-0.79","14.88","22.67","195.90","87.15","9.98","-1.53"
