Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY MEDIA","3,294.90","3,295.45","3,249.50","3,264.50","5.00","0.15","120.84","174.13","3,675.85","2,845.35","6.89","-2.39"
"NETWORK18","50.30","53.20","49.85","52.85","3.05","6.12","15.41","8.09","64.10","27.45","51.43","6.55"
"INOXLEISUR","268.10","272.00","268.10","269.85","2.50","0.94","0.23","0.63","326.35","216.00","9.23","-11.54"
"SUNTV","889.90","900.90","881.30","886.50","7.20","0.82","8.66","77.14","1,097.80","652.45","19.49","-4.99"
"DEN","95.90","96.00","93.50","93.85","0.70","0.75","0.55","0.52","149.40","72.55","14.24","-9.63"
"TV18BRDCST","63.75","64.55","62.75","63.20","0.40","0.64","56.86","36.17","66.75","33.05","53.96","16.93"
"EROSMEDIA","176.90","179.20","175.70","176.00","1.05","0.60","1.33","2.36","308.45","171.25","-14.10","-7.59"
"TVTODAY","451.50","459.90","451.10","451.15","0.60","0.13","0.13","0.59","510.35","210.00","76.58","-3.55"
"ZEEL","575.00","575.00","565.10","569.05","0.55","0.10","4.74","26.99","619.00","458.10","9.98","-2.08"
"HATHWAY","35.00","35.70","32.90","34.65","-0.05","-0.14","20.24","6.94","49.50","25.60","-8.94","-7.85"
"PVR","1,332.00","1,332.00","1,301.00","1,315.25","-5.70","-0.43","0.41","5.34","1,655.00","1,142.05","-2.62","-4.70"
"HTMEDIA","87.15","87.15","84.85","85.30","-0.65","-0.76","0.97","0.83","118.40","79.25","2.03","-8.96"
"NAVNETEDUL","142.00","142.00","136.30","138.10","-1.90","-1.36","0.11","0.15","193.50","127.90","-4.86","-0.43"
"DISHTV","66.50","67.10","64.65","65.25","-1.05","-1.58","10.66","7.03","111.00","63.70","-36.99","-13.00"
"DBCORP","337.80","338.50","321.35","326.35","-6.60","-1.98","0.29","0.94","401.95","310.15","-14.01","-0.18"
"JAGRAN","165.00","165.90","160.35","161.25","-3.35","-2.04","0.25","0.41","208.90","155.60","-14.57","-0.77"
