Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY METAL","3,722.85","3,744.35","3,691.20","3,703.10","14.95","0.41","505.66","1,267.87","4,256.40","2,829.10","21.31","-4.55"
"JSLHISAR","164.80","169.00","164.05","166.55","4.15","2.56","3.58","5.98","252.40","117.95","29.26","-8.84"
"VEDL","308.30","311.80","305.60","310.00","5.85","1.92","51.43","159.23","355.70","217.75","22.72","-1.81"
"JINDALSTEL","224.80","229.60","221.10","224.95","2.70","1.21","72.50","163.46","294.30","102.70","90.23","-10.96"
"MOIL","206.10","209.70","204.30","205.65","2.20","1.08","2.02","4.17","285.85","147.00","34.06","-10.33"
"TATASTEEL","614.45","622.20","606.40","612.95","6.20","1.02","69.34","426.95","748.11","403.77","30.57","-7.38"
"HINDALCO","220.05","223.25","217.40","222.35","2.15","0.98","50.14","110.79","284.00","179.35","17.52","-9.61"
"HINDCOPPER","64.35","67.30","63.60","64.15","0.50","0.79","10.61","6.92","110.50","56.55","-3.75","-13.31"
"NMDC","123.00","124.35","121.95","122.55","0.65","0.53","23.88","29.49","162.70","102.80","-12.96","-5.69"
"JSWSTEEL","295.20","297.90","291.80","293.50","1.55","0.53","24.95","73.58","320.45","175.15","65.96","1.21"
"SAIL","70.75","71.75","69.20","69.65","0.15","0.22","116.54","82.21","101.45","52.85","17.55","-15.93"
"NATIONALUM","63.05","63.60","62.00","62.25","-0.25","-0.40","15.04","9.44","97.60","60.70","-11.83","-12.01"
"HINDZINC","317.25","317.50","302.05","308.55","-4.75","-1.52","22.69","69.46","340.20","226.85","5.96","6.80"
"COALINDIA","305.40","306.90","296.00","297.65","-6.40","-2.10","40.12","119.87","320.00","233.70","-6.43","0.02"
"APLAPOLLO","1,945.00","1,990.00","1,854.00","1,874.10","-49.15","-2.56","0.10","1.93","2,575.00","1,070.00","69.18","-14.45"
"WELCORP","167.40","168.25","151.95","155.50","-10.30","-6.21","2.72","4.39","197.15","80.65","84.46","-1.21"
