Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY MIDCAP 50","5,002.25","5,006.20","4,932.80","4,940.10","-19.75","-0.40","1,932.40","2,118.09","5,722.50","4,260.65","19.26","-2.02"
"CENTURYTEX","1,147.00","1,177.95","1,147.00","1,174.00","39.70","3.50","3.63","42.23","1,471.20","927.00","25.27","-4.13"
"RBLBANK","461.00","464.75","455.35","463.30","7.00","1.53","4.12","18.94","600.90","443.30","-1.80","-3.63"
"DALMIABHA","2,759.00","2,789.00","2,743.00","2,779.55","39.00","1.42","0.44","12.05","3,350.00","1,862.05","46.57","2.74"
"IGL","305.70","305.70","299.50","304.95","4.10","1.36","11.37","34.42","344.90","193.36","48.11","4.35"
"AMARAJABAT","801.60","810.00","801.00","803.00","9.30","1.17","2.05","16.54","941.00","664.55","-2.46","1.68"
"EXIDEIND","211.00","214.45","210.35","212.30","2.30","1.10","13.88","29.58","250.00","192.40","0.07","3.97"
"JINDALSTEL","224.80","229.60","221.10","224.65","2.40","1.08","72.41","163.26","294.30","102.70","89.98","-11.08"
"CASTROLIND","205.70","206.90","203.60","206.55","2.15","1.05","22.49","46.35","226.40","171.50","-49.58","10.01"
"PCJEWELLER","342.90","345.50","338.45","340.30","2.90","0.86","16.38","55.84","600.65","187.33","80.51","-10.47"
"TATAGLOBAL","270.00","274.00","269.70","270.60","2.25","0.84","13.61","37.01","328.75","136.75","92.19","-3.41"
"UBL","1,026.00","1,049.50","1,021.50","1,024.15","7.35","0.72","2.89","29.89","1,243.00","717.20","32.95","-6.42"
"IDFC","49.65","50.10","49.15","49.40","0.35","0.71","20.42","10.11","68.90","48.30","-4.91","-5.36"
"AJANTPHARM","1,334.90","1,337.90","1,323.00","1,330.00","8.35","0.63","0.45","6.02","1,852.95","1,120.05","-22.50","-0.14"
"ADANIPOWER","25.60","26.50","25.40","25.60","0.15","0.59","52.62","13.61","47.80","25.05","-32.36","-20.00"
"VOLTAS","634.00","636.00","627.70","632.85","3.45","0.55","9.60","60.70","675.30","380.00","64.06","5.52"
"DIVISLAB","1,005.00","1,011.75","997.05","1,001.95","3.25","0.33","1.19","11.90","1,142.00","532.65","31.85","-1.12"
"TATACOMM","623.20","629.90","619.50","621.85","1.85","0.30","0.98","6.09","783.90","570.45","-17.39","3.38"
"FEDERALBNK","94.40","94.80","93.70","94.20","0.20","0.21","31.51","29.67","127.65","83.95","10.05","0.86"
"ARVIND","395.00","396.90","388.00","389.75","0.80","0.21","6.70","26.27","478.50","353.25","-0.83","1.31"
"SRF","1,862.00","1,869.25","1,849.25","1,856.60","3.25","0.18","0.57","10.68","2,048.45","1,415.25","17.79","4.53"
"IRB","216.80","218.00","213.60","214.95","0.25","0.12","7.94","17.18","272.65","193.50","-5.04","-1.87"
"MINDTREE","819.00","828.00","811.20","814.70","0.85","0.10","8.25","67.70","871.20","435.00","72.37","13.55"
"CHOLAFIN","1,405.10","1,424.90","1,392.75","1,403.60","1.15","0.08","0.84","11.78","1,487.60","912.00","49.86","8.31"
"TVSMOTOR","654.00","656.75","642.00","645.65","-0.50","-0.08","2.46","15.98","794.45","415.25","53.91","-0.44"
"NBCC","183.90","184.65","181.35","181.75","-0.45","-0.25","7.52","13.75","291.30","160.55","7.74","-10.89"
"MRPL","116.25","116.85","114.90","115.15","-0.50","-0.43","2.67","3.10","146.70","98.80","10.56","0.00"
"L&TFH","161.95","162.50","158.50","159.10","-0.90","-0.56","21.00","33.75","213.85","114.20","33.75","1.14"
"TATACHEM","692.55","693.00","681.15","683.00","-3.90","-0.57","1.17","8.04","782.00","551.25","21.39","0.32"
"PAGEIND","21,704.00","21,777.85","21,322.05","21,354.10","-150.45","-0.70","0.06","13.62","25,789.95","13,680.00","47.47","10.36"
"BERGEPAINT","249.30","249.30","243.35","245.25","-1.95","-0.79","2.67","6.54","286.30","221.10","9.29","-0.85"
"BALKRISIND","1,052.35","1,052.35","1,026.00","1,030.15","-8.30","-0.80","0.95","9.81","1,274.20","651.50","-21.17","-6.82"
"GMRINFRA","17.30","17.45","16.75","16.95","-0.15","-0.88","139.23","23.77","25.05","14.20","4.63","-11.26"
"MUTHOOTFIN","374.00","375.70","363.85","367.10","-3.55","-0.96","2.76","10.16","525.50","325.00","4.33","-8.90"
"APOLLOTYRE","260.85","261.90","256.15","257.30","-2.70","-1.04","7.81","20.24","288.65","178.45","43.34","-1.46"
"ENGINERSIN","163.35","164.65","159.95","160.80","-1.70","-1.05","6.58","10.69","206.40","140.65","10.63","-3.77"
"RELINFRA","423.45","423.45","409.70","412.30","-4.50","-1.08","10.68","44.49","620.05","390.55","-27.78","-4.36"
"IDFCBANK","50.45","51.40","49.10","49.35","-0.60","-1.20","228.52","114.49","71.15","48.00","-17.89","-5.46"
"RCOM","23.00","23.45","21.80","22.35","-0.35","-1.54","383.75","86.19","41.00","9.60","-37.04","-11.13"
"RPOWER","38.55","39.05","37.35","37.65","-0.60","-1.57","25.28","9.68","65.20","34.60","-18.06","-7.72"
"DISHTV","66.50","67.10","64.65","65.25","-1.05","-1.58","10.66","7.03","111.00","63.70","-36.99","-13.00"
"BIOCON","604.00","604.00","583.40","584.50","-10.65","-1.79","12.18","72.32","657.50","295.03","63.68","-1.03"
"M&MFIN","425.00","425.00","407.65","410.85","-9.10","-2.17","11.63","48.30","512.00","274.10","46.52","-6.75"
"GODREJIND","548.45","549.95","532.20","534.95","-12.05","-2.20","4.46","24.13","699.00","476.45","11.70","-2.10"
"APOLLOHOSP","1,152.00","1,153.40","1,114.20","1,121.10","-27.95","-2.43","1.37","15.54","1,358.00","957.15","-8.52","-1.02"
"BHARATFORG","754.00","759.45","728.10","728.70","-19.10","-2.55","4.38","32.56","798.00","497.50","41.26","3.17"
"ADANIENT","158.45","159.45","150.00","150.90","-5.20","-3.33","74.52","114.24","223.50","92.75","61.22","-23.30"
"CANBK","235.10","235.45","225.20","227.35","-8.10","-3.44","89.78","205.33","463.70","225.20","-20.49","-27.68"
"BANKINDIA","97.70","98.95","92.05","92.90","-4.75","-4.86","74.55","71.09","216.80","92.05","-25.23","-34.11"
"UNIONBANK","93.90","94.25","87.00","87.75","-5.70","-6.10","62.33","56.16","205.10","87.00","-39.94","-29.03"
"IDBI","71.00","71.65","62.45","63.40","-7.30","-10.33","439.09","289.27","91.50","50.20","-16.14","9.88"
