Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY NEXT 50","28,514.35","28,560.40","28,278.20","28,302.65","12.65","0.04","950.56","1,777.94","31,990.80","24,443.50","17.49","-3.57"
"MCDOWELL-N","3,065.00","3,163.00","3,065.00","3,114.00","135.75","4.56","4.60","143.38","4,005.15","1,830.35","40.42","-0.42"
"PIDILITIND","885.70","893.00","881.85","890.20","11.50","1.31","1.90","16.86","971.70","670.25","30.43","2.90"
"PEL","2,390.35","2,414.20","2,360.10","2,391.60","29.00","1.23","0.71","16.86","3,058.37","1,793.76","26.64","-9.77"
"OIL","326.90","327.45","323.05","324.65","3.80","1.18","1.57","5.09","388.95","257.10","0.17","-8.82"
"SRTRANSFIN","1,345.50","1,368.40","1,345.50","1,352.40","13.70","1.02","5.93","80.23","1,545.90","917.70","40.74","2.05"
"GODREJCP","1,080.00","1,089.00","1,075.25","1,082.80","9.95","0.93","0.80","8.65","1,128.00","800.53","33.92","7.03"
"TITAN","824.00","831.60","822.40","826.45","7.35","0.90","6.05","50.09","938.50","438.05","86.87","5.46"
"SUNTV","889.90","900.90","881.30","886.50","7.20","0.82","8.66","77.14","1,097.80","652.45","19.49","-4.99"
"LICHSGFIN","489.75","489.75","483.30","487.05","3.75","0.78","5.87","28.54","794.00","476.60","-14.18","-3.12"
"INDIGO","1,291.10","1,319.40","1,283.35","1,299.00","9.40","0.73","3.32","43.43","1,357.15","869.00","48.43","7.19"
"GLENMARK","534.80","542.00","533.75","537.00","3.85","0.72","3.92","21.09","927.65","517.05","-39.37","-5.64"
"BAJAJFINSV","5,002.50","5,027.00","4,967.20","5,000.35","34.10","0.69","0.56","27.73","5,790.00","3,776.00","31.42","-0.23"
"BRITANNIA","4,875.00","4,880.45","4,820.75","4,872.90","31.10","0.64","0.29","14.06","5,065.80","3,063.00","58.28","7.09"
"DMART","1,316.10","1,336.70","1,308.10","1,314.30","7.75","0.59","3.60","47.73","1,387.00","558.30","-","-"
"DABUR","330.05","333.60","328.65","329.00","1.75","0.53","7.90","26.08","368.60","265.00","19.66","-2.76"
"NMDC","123.00","124.35","121.95","122.55","0.65","0.53","23.85","29.45","162.70","102.80","-12.96","-5.69"
"OFSS","3,898.90","3,932.00","3,858.15","3,912.00","19.90","0.51","0.07","2.60","4,379.20","3,372.25","-0.58","-4.51"
"JSWSTEEL","295.20","297.90","291.80","293.30","1.35","0.46","24.88","73.39","320.45","175.15","65.85","1.14"
"MRF","70,950.00","71,332.95","70,950.00","71,070.00","288.35","0.41","0.01","7.84","74,500.00","51,205.00","36.59","3.26"
"MARICO","310.20","312.20","305.85","309.80","1.20","0.39","2.23","6.87","348.70","276.90","10.49","3.15"
"SIEMENS","1,091.15","1,101.00","1,087.30","1,089.85","4.05","0.37","0.34","3.70","1,471.35","1,080.00","-9.51","-10.47"
"COLPAL","1,038.00","1,053.50","1,038.00","1,040.85","3.20","0.31","1.08","11.25","1,178.35","927.30","10.21","-5.31"
"SAIL","70.75","71.75","69.20","69.70","0.20","0.29","116.37","82.09","101.45","52.85","17.64","-15.87"
"MOTHERSUMI","321.95","321.95","316.00","318.00","0.85","0.27","8.88","28.22","395.60","235.43","33.45","-10.42"
"SHREECEM","16,172.00","16,172.00","15,937.90","16,037.30","36.55","0.23","0.04","5.84","20,538.00","15,652.15","1.00","-5.64"
"TATAPOWER","80.55","80.80","79.95","80.05","0.05","0.06","19.13","15.33","101.80","75.80","-2.62","-5.49"
"BEL","149.75","150.00","147.65","148.50","0.05","0.03","16.53","24.59","1,448.68","139.14","-89.49","-5.92"
"PGHH","9,402.70","9,446.95","9,349.90","9,402.10","-0.60","-0.01","0.01","0.65","9,900.00","6,611.15","37.54","3.45"
"HAVELLS","508.00","510.30","500.55","502.85","-0.40","-0.08","4.24","21.39","592.50","420.10","18.71","-0.27"
"CUMMINSIND","781.00","783.40","771.15","776.05","-0.70","-0.09","0.40","3.08","1,096.80","761.00","-9.70","-5.18"
"DLF","215.00","216.25","210.15","211.00","-0.35","-0.17","31.24","66.84","273.85","140.80","48.28","-6.33"
"GSKCONS","6,570.00","6,650.00","6,495.95","6,610.00","-16.75","-0.25","0.02","1.50","6,940.00","4,851.00","24.70","5.23"
"PETRONET","232.05","232.95","228.00","230.00","-0.70","-0.30","13.94","32.03","275.65","188.53","18.07","-6.56"
"ACC","1,536.70","1,540.20","1,522.00","1,525.10","-6.75","-0.44","0.77","11.76","1,869.95","1,380.40","8.78","-3.92"
"ABB","1,449.80","1,450.00","1,423.60","1,428.55","-9.15","-0.64","0.10","1.45","1,749.20","1,180.00","19.29","-9.50"
"CONCOR","1,258.70","1,258.70","1,235.95","1,238.15","-10.55","-0.84","0.73","9.09","1,500.00","972.00","26.86","-7.78"
"GLAXO","2,269.00","2,282.95","2,242.20","2,250.30","-22.50","-0.99","0.02","0.50","2,780.05","2,201.20","-16.81","-7.77"
"BHEL","87.00","87.05","84.90","85.20","-0.95","-1.10","41.35","35.59","121.83","80.87","-18.86","-9.60"
"ASHOKLEY","148.00","148.60","144.65","145.20","-1.80","-1.22","91.49","134.23","148.60","80.75","60.53","9.26"
"CADILAHC","389.00","389.35","378.90","379.50","-4.70","-1.22","2.15","8.23","560.00","375.75","-13.76","-4.25"
"NHPC","27.00","27.10","26.40","26.50","-0.35","-1.30","22.85","6.10","34.50","26.25","-11.52","-7.02"
"HINDZINC","317.25","317.50","302.05","308.65","-4.65","-1.48","22.65","69.34","340.20","226.85","5.99","6.84"
"EMAMILTD","1,087.00","1,105.05","1,066.00","1,066.00","-18.50","-1.71","0.42","4.52","1,365.00","990.00","5.39","-5.29"
"ICICIPRULI","393.00","393.05","383.00","383.50","-7.00","-1.79","4.23","16.41","509.40","361.25","2.91","-9.19"
"BANKBARODA","132.00","133.00","128.10","128.65","-2.90","-2.20","60.88","79.48","206.65","128.10","-19.32","-16.43"
"IDEA","79.20","79.95","76.55","76.95","-1.90","-2.41","43.26","33.62","123.50","71.45","-25.97","-8.72"
"TORNTPHARM","1,335.00","1,348.00","1,281.00","1,295.55","-34.25","-2.58","1.58","20.77","1,575.25","1,141.95","-2.67","-5.83"
"RECLTD","129.85","129.85","123.75","124.35","-3.80","-2.97","26.11","32.88","223.90","123.75","-18.16","-16.57"
"PNB","96.20","96.30","91.25","92.60","-3.00","-3.14","251.29","235.13","231.45","91.25","-34.40","-40.85"
"PFC","93.40","93.85","86.80","87.30","-5.80","-6.23","61.74","55.22","168.90","86.80","-33.76","-20.20"
