Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY PSU BANK","2,866.25","2,877.65","2,769.70","2,782.65","-75.50","-2.64","1,580.90","1,514.70","4,335.20","2,797.40","-15.29","-18.94"
"INDIANB","279.00","281.95","270.80","273.05","-5.40","-1.94","11.32","31.21","427.40","251.45","0.76","-17.35"
"SBIN","254.10","255.25","247.25","248.30","-4.95","-1.95","139.66","348.89","351.30","241.15","-9.13","-15.20"
"BANKBARODA","132.00","133.00","128.10","128.80","-2.75","-2.09","61.09","79.74","206.65","128.10","-19.22","-16.34"
"PNB","96.20","96.30","91.25","92.85","-2.75","-2.88","252.41","236.18","231.45","91.25","-34.22","-40.69"
"CANBK","235.10","235.45","225.20","227.35","-8.10","-3.44","90.09","206.02","463.70","225.20","-20.49","-27.68"
"SYNDIBANK","54.65","54.85","51.85","52.40","-1.95","-3.59","24.35","12.95","95.90","51.85","-20.91","-18.13"
"ALBK","46.20","46.20","43.30","43.80","-1.65","-3.63","30.71","13.62","92.40","43.30","-35.78","-24.42"
"BANKINDIA","97.70","98.95","92.05","92.75","-4.90","-5.02","75.11","71.61","216.80","92.05","-25.35","-34.22"
"UNIONBANK","93.90","94.25","87.00","87.50","-5.95","-6.37","62.77","56.55","205.10","87.00","-40.11","-29.24"
"ORIENTBANK","88.10","90.40","83.95","84.65","-6.60","-7.23","64.99","56.60","191.00","83.95","-30.61","-21.62"
"IDBI","71.00","71.65","62.45","63.30","-7.40","-10.47","441.17","290.60","91.50","50.20","-16.27","9.71"
"ANDHRABANK","37.00","37.35","31.95","34.00","-4.55","-11.80","327.23","110.73","76.10","31.95","-36.74","-26.41"
