Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY PHARMA","8,582.90","8,618.15","8,492.70","8,507.00","-8.70","-0.10","64.80","427.58","10,783.90","8,314.50","-18.97","-4.80"
"PEL","2,390.35","2,414.20","2,360.10","2,391.20","28.60","1.21","0.71","16.91","3,058.37","1,793.76","26.62","-9.79"
"SUNPHARMA","511.00","516.00","506.55","509.40","2.60","0.51","24.53","125.53","729.05","432.70","-25.65","-7.30"
"GLENMARK","534.80","542.00","533.75","535.65","2.50","0.47","3.99","21.48","927.65","517.05","-39.52","-5.88"
"DIVISLAB","1,005.00","1,011.75","997.05","1,001.50","2.80","0.28","1.19","11.92","1,142.00","532.65","31.79","-1.16"
"LUPIN","768.00","773.70","761.20","765.20","0.70","0.09","7.34","56.40","1,498.00","750.15","-47.35","-5.07"
"DRREDDY","2,160.00","2,163.70","2,122.00","2,126.45","-3.45","-0.16","2.67","57.20","2,787.00","1,901.15","-21.38","0.71"
"CIPLA","575.05","579.45","563.55","566.20","-4.85","-0.85","4.80","27.45","663.40","480.20","-3.90","-0.54"
"GLAXO","2,269.00","2,282.95","2,242.20","2,250.00","-22.80","-1.00","0.02","0.54","2,780.05","2,201.20","-16.82","-7.79"
"CADILAHC","389.00","389.35","378.90","379.65","-4.55","-1.18","2.17","8.30","560.00","375.75","-13.73","-4.21"
"AUROPHARMA","593.00","598.00","574.00","579.60","-12.85","-2.17","17.38","101.85","809.45","503.05","-11.93","-5.92"
