Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY PVT BANK","13,859.10","13,903.65","13,822.35","13,877.00","110.75","0.80","491.23","971.79","15,515.35","11,504.30","20.92","-3.43"
"RBLBANK","461.00","464.75","455.35","463.50","7.20","1.58","4.17","19.16","600.90","443.30","-1.76","-3.59"
"INDUSINDBK","1,705.00","1,724.00","1,705.00","1,721.65","24.10","1.42","3.20","54.82","1,817.80","1,322.90","29.81","3.60"
"KOTAKBANK","1,087.50","1,100.95","1,083.50","1,096.20","13.75","1.27","5.04","55.19","1,131.00","820.00","32.80","5.78"
"ICICIBANK","295.60","297.45","293.75","295.20","2.50","0.85","66.42","196.25","365.70","240.45","18.73","-11.23"
"HDFCBANK","1,860.20","1,868.45","1,853.40","1,862.40","11.35","0.61","7.48","139.37","2,015.00","1,381.65","33.58","-0.56"
"AXISBANK","510.60","513.35","505.30","508.45","3.10","0.61","33.41","169.92","627.60","447.50","-1.54","-9.10"
"FEDERALBNK","94.40","94.80","93.70","94.30","0.30","0.32","31.59","29.74","127.65","83.95","10.16","0.96"
"YESBANK","305.20","307.95","301.35","303.05","-0.20","-0.07","59.33","180.05","382.90","275.25","3.41","-8.97"
"IDFCBANK","50.45","51.40","49.10","49.35","-0.60","-1.20","228.56","114.51","71.15","48.00","-17.89","-5.46"
"SOUTHBANK","25.00","25.10","24.05","24.30","-0.65","-2.61","52.03","12.78","34.75","19.75","20.00","-9.50"
