Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY REALTY","319.35","320.10","313.65","314.10","-1.60","-0.51","303.48","166.21","375.15","206.20","58.32","-1.43"
"BRIGADE","276.10","277.30","273.05","277.30","5.10","1.87","0.11","0.31","324.90","191.15","40.26","-3.63"
"IBREALEST","203.55","204.75","202.00","202.25","1.55","0.77","14.34","29.12","269.70","78.15","156.99","0.57"
"OBEROIRLTY","529.55","536.00","521.55","528.35","3.55","0.68","2.38","12.64","574.40","335.30","54.04","12.14"
"DLF","215.00","216.25","210.15","211.15","-0.20","-0.09","31.32","67.02","273.85","140.80","48.38","-6.26"
"GODREJPROP","754.75","754.75","736.10","737.50","-4.40","-0.59","0.23","1.67","911.85","357.10","105.69","-7.05"
"SOBHA","554.70","556.45","546.00","546.30","-5.95","-1.08","0.50","2.74","694.90","299.10","78.33","-1.10"
"PRESTIGE","307.90","308.95","299.25","301.00","-3.85","-1.26","0.72","2.18","356.80","164.00","80.24","3.72"
"PHOENIXLTD","702.50","712.95","682.30","685.35","-13.70","-1.96","0.90","6.21","725.00","354.00","83.30","11.32"
"UNITECH","6.30","6.40","5.90","6.00","-0.30","-4.76","171.70","10.51","12.25","4.50","2.56","-18.37"
"HDIL","42.85","43.35","39.65","39.85","-2.35","-5.57","81.28","33.81","101.80","39.65","-44.07","-22.32"
